year,actual_spei,actual_drought,predicted_drought,drought_probability,predicted_spei
1950,-0.0999384149909019,0,0,0.41307341802092346,0.037680191305662726
1951,-0.6354600787162781,1,0,0.3775116787223709,-0.05244694831080729
1952,-0.1930915862321853,0,1,0.623849660445452,-0.09372403117835601
1953,-0.5390637516975403,1,0,0.4628339900817224,-0.1103439710586486
1954,-0.0856137052178382,0,0,0.2241342262084726,-0.14679213494655638
1955,-0.1750152558088302,0,1,0.7307920361721691,-0.18999908559386153
1956,-0.2525473535060882,1,0,0.26025190794644165,-0.0010950982383833982
1957,-0.0192756354808807,0,0,0.343441958745497,0.05743851112205839
1958,0.3554265797138214,0,0,0.40577738059023216,-0.0781273792589248
1959,-0.0512448661029338,0,1,0.5338242642607789,-0.12708742369537135
1960,-0.1288899034261703,0,0,0.2884784537140974,-0.033592578976374
1961,0.2584274709224701,0,0,0.20985287680728856,-0.10116511225873986
1962,-0.0990421995520591,0,0,0.3971556729642468,-0.05888196528616367
1963,0.2470069378614425,0,1,0.7052006272478466,-0.18829187686393886
1964,0.4843731820583343,0,0,0.319293914399785,-0.05652752724682886
1965,0.0169392377138137,0,1,0.5315014941149525,-0.07023604453379172
1966,0.0283378753811121,0,1,0.5707979509126785,-0.06251631178479876
1967,0.4278846979141235,0,0,0.37034876494523866,0.20603593600001613
1968,0.0928598865866661,0,1,0.505416259946159,-0.05316886369869045
1969,-0.0007012784481048,0,0,0.41012121059372414,-0.024706790286435548
1970,-0.0228175725787878,0,0,0.2547571476137745,-0.09081949583262221
1971,0.4281755983829498,0,0,0.22589081267702904,-0.04008639368621429
1972,0.1868412941694259,0,1,0.5446010270735361,-0.08493023066607391
1973,-0.4385960102081299,1,1,0.6631905759883778,-0.10986198618436381
1974,-0.509880006313324,1,1,0.6599091869138677,-0.11188566944162384
1975,0.0815387144684791,0,0,0.22330214094602366,0.026232244287322702
1976,0.034954871982336,0,0,0.4096559335421769,-0.01963569816826076
1977,0.3861268758773803,0,1,0.5029958001087506,-0.11197756032618647
1978,-0.3972040116786957,1,0,0.3744482004467269,-0.0692683502825189
1979,0.1322213411331176,0,0,0.4623004155488116,-0.056754671981583564
1980,-0.2351949661970138,0,0,0.40079926596107435,0.06982931340452621
1981,-0.0934365019202232,0,0,0.36737677421139125,-0.054719381506892865
1982,0.3033008575439453,0,0,0.23908346083972717,-0.0749612098653966
1983,0.1801303029060363,0,0,0.4196083217961514,-0.15233968527779237
1984,-0.5322111248970032,1,0,0.11352197848009858,-0.027508997819305124
1985,0.0107934670522809,0,1,0.6533781466262031,-0.2741595946571048
1986,-0.2344001680612564,0,0,0.4377795589299857,-0.20954955080377202
1987,-0.5494649410247803,1,0,0.3574869808037351,-0.06884621796899464
1988,0.0269419401884078,0,1,0.5256756104134004,-0.08178257145668623
1989,0.2410347908735275,0,0,0.18220333700387387,0.13422440490913884
1990,-0.2753456532955169,1,0,0.17289737093850563,-0.015467132552731952
1991,-0.2322782725095749,0,0,0.3849467520322537,-0.11003204662193537
1992,0.1762484312057495,0,0,0.23817528439651223,-0.0943764644255192
1993,0.2748733460903168,0,0,0.3788332879296186,-0.055906321560732365
1994,-0.0234858263283967,0,0,0.45614302080843516,-0.06271750298040396
1995,0.1136249899864196,0,1,0.5481078258407064,-0.0696045152712433
1996,0.3264604806900024,0,0,0.2203526051168446,-0.024827344494111434
1997,-0.0092230634763836,0,0,0.36621903007279927,-0.05337704322492365
1998,0.1226918175816536,0,0,0.44468962709433035,-0.06443835576576036
1999,-0.1798220127820968,0,0,0.22674943196892403,0.25572578828655607
2000,-0.0387260131537914,0,0,0.30832062351448974,0.0025155567745727
2001,-0.0443729162216186,0,1,0.600916113386493,-0.0688627121126324
2002,-0.4013053476810455,1,0,0.4715437212517707,-0.026103316097434624
2003,-0.0748969689011573,0,1,0.6621811235615378,-0.07605757408925137
2004,0.0611361674964427,0,0,0.28467533500711645,0.050562232911130725
2005,0.2390476912260055,0,1,0.6014687443499552,-0.14790721225366996
2006,0.2442876100540161,0,1,0.564802760022197,-0.10334078742770897
2007,0.1509293764829635,0,0,0.25635614837527193,-0.03165979761905518
2008,-0.0566580891609191,0,0,0.2367946034405284,0.02214869054609715
2009,-0.1433632373809814,0,0,0.2513142734090124,0.023635380166012316
2010,0.2271687537431717,0,0,0.32990339863639856,0.23774114155412238
2011,0.1746761947870254,0,0,0.30608829419837835,0.139316866254808
2012,0.2179536670446396,0,0,0.3171525859462085,0.20235386629131888
2013,0.1785948723554611,0,0,0.2751246248110563,0.08996360904879833
2014,-0.0103314714506268,0,0,0.39444719497046393,0.010582391322251099
