series_id,year,raw_ring_width,fitted_growth,rwi,sunspot,rwi_smoothed,rwi_z,sunspot_smoothed,sunspot_z,sunspot_z_lagged,optimal_lag
8TANA,1910,503,467.5696905247612,1.0757754623390468,30.9,,,54.218181818181826,-1.29613650199248,-1.29613650199248,0
8TANA,1911,188,460.6699257086786,0.40810130965416797,9.5,,,53.26363636363636,-1.33651132720588,-1.33651132720588,0
8TANA,1912,560,453.87197834458664,1.2338280984926533,6.0,,,60.85454545454545,-1.0154353362231323,-1.0154353362231323,0
8TANA,1913,150,447.1743459474286,0.3354396363731352,2.4,0.9073273023343653,-0.19687688183941385,63.74545454545455,-0.8931572941482654,-0.8931572941482654,0
8TANA,1914,409,440.57554820380244,0.9283311379114573,16.1,0.8864257759574038,-0.2727734602401402,66.0,-0.797795802215665,-0.797795802215665,0
8TANA,1915,560,434.07412664478045,1.2901022328342309,79.0,0.8826304991980455,-0.28655467960776454,65.04545454545455,-0.8381706274290645,-0.8381706274290645,0
8TANA,1916,631,427.66864432355885,1.47544134547916,95.0,0.8613093740416846,-0.36397488413431456,66.19090909090909,-0.7897208371729854,-0.7897208371729854,0
8TANA,1917,356,421.35768549786235,0.8448878761505493,173.6,0.9115922026954337,-0.18139038871028523,67.48181818181818,-0.7351186925986736,-0.7351186925986736,0
8TANA,1918,249,415.13985531703673,0.5997978676603865,134.6,0.8784465791962656,-0.3017471209017873,67.81818181818181,-0.7208913732377618,-0.7208913732377618,0
8TANA,1919,311,409.0137795137584,0.7603655807628814,105.7,0.942999924561418,-0.06734423810870363,70.13636363636364,-0.6228382262909342,-0.6228382262909342,0
8TANA,1920,305,402.97810410029285,0.7568649435208318,62.7,0.8994303767729496,-0.22555180343065787,75.39999999999999,-0.40019990439990394,-0.40019990439990394,0
8TANA,1921,334,397.0314950692363,0.8412430856190777,43.5,0.8800647275339064,-0.2958713814961173,77.89999999999999,-0.2944563145552865,-0.2944563145552865,0
8TANA,1922,376,391.17263809867245,0.9612124248454076,23.7,0.8197824740201725,-0.514765288929622,79.69090909090909,-0.21870545201205124,-0.21870545201205124,0
8TANA,1923,335,385.40023826168067,0.8692262400018038,9.7,0.8697625382079658,-0.3332801767091416,75.7,-0.38751067361854935,-0.38751067361854935,0
8TANA,1924,397,379.71301974013073,1.0455264353898115,27.9,0.929222780236199,-0.11737111631649098,73.3,-0.48902451986938233,-0.48902451986938233,0
8TANA,1925,168,374.109725542701,0.44906611223830484,74.0,0.9671553914941481,0.020367886680749795,69.0909090909091,-0.6670582729532288,-0.6670582729532288,0
8TANA,1926,397,368.5891172270575,1.0770800912047571,106.5,0.9947887504470739,0.1207087592285964,66.58181818181818,-0.7731863849427361,-0.7731863849427361,0
8TANA,1927,295,363.1499746261333,0.8123365568280861,114.7,1.0294087563221483,0.24641919504764595,64.31818181818181,-0.8689323990202261,-0.8689323990202261,0
8TANA,1928,499,357.79109557844623,1.3946685822162768,129.7,1.0569759548368525,0.34651982911740437,63.0,-0.924688110029206,-0.924688110029206,0
8TANA,1929,442,352.51129566239695,1.253860529970952,108.2,1.0057343952439093,0.160454037802375,63.445454545454545,-0.9058465249296196,-0.9058465249296196,0
8TANA,1930,409,347.30940793448775,1.17762430460032,59.4,1.0282599904404968,0.2422478537671857,66.38181818181819,-0.781645872130305,-0.781645872130305,0
8TANA,1931,363,342.1842826714037,1.060831892003016,35.1,1.1290917765060682,0.6083831980665432,71.72727272727273,-0.5555468509352686,-0.5555468509352686,0
