series_id,year,raw_ring_width,fitted_growth,rwi
2TANA,1903,274,271.6468390482325,1.008662574392591
2TANA,1904,80,268.51241752140436,0.2979378039141256
2TANA,1905,150,265.42484159244464,0.5651317303235787
2TANA,1906,120,262.38341112896177,0.45734598648471664
2TANA,1907,60,259.3874364624154,0.23131421019573495
2TANA,1908,361,256.4362382317287,1.4077573532091132
2TANA,1909,397,253.5291472292374,1.5658949053342508
2TANA,1910,283,250.66550424894223,1.128994597194138
2TANA,1911,157,247.8446599370282,0.6334612980561704
2TANA,1912,264,245.06597464461882,1.0772609309914942
2TANA,1913,67,242.3288182827304,0.27648383083282163
2TANA,1914,302,239.63257017939443,1.2602627421385828
2TANA,1915,243,236.97661893891538,1.0254176175187868
2TANA,1916,300,234.3603623032317,1.280079946334266
2TANA,1917,298,231.78320701534912,1.2856841694328005
2TANA,1918,238,229.24456868481485,1.0381925354455088
2TANA,1919,259,226.74387165520253,1.14225799404999
2TANA,1920,239,224.2805488735773,1.0656296375247405
2TANA,1921,90,221.85404176191238,0.40567212246953566
2TANA,1922,266,219.4638000904267,1.2120449927978953
2TANA,1923,367,217.10928185281628,1.6903929526550519
2TANA,1924,231,214.78995314334963,1.0754692974202191
2TANA,1925,148,212.50528803580073,0.6964532570834965
2TANA,1926,285,210.25476846419076,1.3554983893197141
2TANA,1927,85,208.0378841053128,0.4085794294897335
2TANA,1928,251,205.8541322630118,1.219309990237685
2TANA,1929,312,203.7030177541942,1.5316415212684102
2TANA,1930,180,201.58405279654144,0.8929277762942578
2TANA,1931,233,199.4967568979013,1.1679387856878547
2TANA,1932,238,197.44065674733238,1.2054254879458388
2TANA,1933,254,195.41528610777732,1.2997959630441165
2TANA,1934,80,193.42018571033964,0.4136072959820525
2TANA,1935,163,191.45490315014098,0.8513754274142233
2TANA,1936,230,189.51899278373463,1.213598682758194
2TANA,1937,161,187.6120156280524,0.8581539911558134
2TANA,1938,238,185.73353926086168,1.2814056144471053
2TANA,1939,323,183.88313772271022,1.7565504047852039
2TANA,1940,279,182.0603914203365,1.5324585310588055
2TANA,1941,332,180.2648870315236,1.8417341583663038
2TANA,1942,139,178.49621741137517,0.778727986597333
2TANA,1943,194,176.75398149999194,1.097570749771251
2TANA,1944,92,175.03778423152826,0.5256008033003238
2TANA,1945,123,173.3472364446079,0.7095584707478388
2TANA,1946,185,171.6819547940784,1.0775739373534963
2TANA,1947,100,170.04156166408472,0.5880915172818098
2TANA,1948,181,168.42568508244167,1.0746579413431117
2TANA,1949,146,166.83395863628638,0.8751215951081857
2TANA,1950,194,165.26602138899116,1.173865010904915
2TANA,1951,84,163.7215177983184,0.5130663405128949
2TANA,1952,124,162.20009763579836,0.7644878258854549
2TANA,1953,191,160.70141590731225,1.1885396212698154
2TANA,1954,200,159.22513277486192,1.256083110213462
2TANA,1955,115,157.77091347950906,0.7289049512598275
2TANA,1956,199,156.33842826546578,1.2728796253605288
2TANA,1957,80,154.92735230531994,0.5163710526875953
2TANA,1958,249,153.53736562637798,1.6217550625814656
2TANA,1959,158,152.16815303810847,1.0383250164075464
